Mouse ID,Drug Regimen,Sex,Age_months,Weight (g),Timepoint,Tumor Volume (mm3),Metastatic Sites,Tumor Volume (mm3) Change,Initial Tumor Volume (mm3),Tumor Volume % Reduction
j913,Ramicane,Female,4,17,45,31.56046955,1,-13.43953045,45.0,-29.865623222222222
u364,Capomulin,Male,18,17,0,45.0,0,0.0,45.0,0.0
u364,Capomulin,Male,18,17,5,45.76088647,1,0.7608864700000026,45.0,1.690858822222228
u364,Capomulin,Male,18,17,10,46.56841719,2,1.5684171899999981,45.0,3.4853715333333293
u364,Capomulin,Male,18,17,15,47.21219992,2,2.2121999200000033,45.0,4.915999822222229
u364,Capomulin,Male,18,17,20,40.34394812,2,-4.65605188,45.0,-10.346781955555555
u364,Capomulin,Male,18,17,25,35.50361557,2,-9.496384429999999,45.0,-21.10307651111111
u364,Capomulin,Male,18,17,30,35.9783344,2,-9.021665599999999,45.0,-20.048145777777776
u364,Capomulin,Male,18,17,35,35.45948978,2,-9.540510220000002,45.0,-21.201133822222225
u364,Capomulin,Male,18,17,40,36.02413752,2,-8.975862480000004,45.0,-19.946361066666675
u364,Capomulin,Male,18,17,45,31.02392294,3,-13.976077060000001,45.0,-31.057949022222225
n364,Ramicane,Male,4,17,0,45.0,0,0.0,45.0,0.0
n364,Ramicane,Male,4,17,5,45.52187471,0,0.5218747099999987,45.0,1.159721577777775
n364,Ramicane,Male,4,17,10,40.3751382,0,-4.624861799999998,45.0,-10.277470666666662
n364,Ramicane,Male,4,17,15,36.94027399,0,-8.059726009999999,45.0,-17.91050224444444
n364,Ramicane,Male,4,17,20,37.4788685,0,-7.521131500000003,45.0,-16.713625555555563
n364,Ramicane,Male,4,17,25,33.20500824,0,-11.794991760000002,45.0,-26.211092800000003
n364,Ramicane,Male,4,17,30,33.817758,0,-11.182242000000002,45.0,-24.84942666666667
n364,Ramicane,Male,4,17,35,34.48752204,1,-10.512477959999998,45.0,-23.36106213333333
n364,Ramicane,Male,4,17,40,34.95473311,1,-10.04526689,45.0,-22.322815311111114
n364,Ramicane,Male,4,17,45,31.09533505,1,-13.90466495,45.0,-30.899255444444446
y793,Capomulin,Male,17,17,0,45.0,0,0.0,45.0,0.0
y793,Capomulin,Male,17,17,5,41.01991315,0,-3.9800868499999993,45.0,-8.844637444444443
y793,Capomulin,Male,17,17,10,41.63001026,1,-3.369989740000001,45.0,-7.488866088888892
y793,Capomulin,Male,17,17,15,42.28366512,1,-2.716334879999998,45.0,-6.036299733333329
y793,Capomulin,Male,17,17,20,40.71642815,2,-4.283571850000001,45.0,-9.519048555555559
y793,Capomulin,Male,17,17,25,38.9927339,2,-6.0072661000000025,45.0,-13.349480222222226
y793,Capomulin,Male,17,17,30,35.72602314,2,-9.273976859999998,45.0,-20.60883746666666
y793,Capomulin,Male,17,17,35,36.3278696,2,-8.6721304,45.0,-19.27140088888889
y793,Capomulin,Male,17,17,40,31.47541076,2,-13.524589240000001,45.0,-30.054642755555555
y793,Capomulin,Male,17,17,45,31.8962384,2,-13.103761599999999,45.0,-29.119470222222223
r554,Capomulin,Female,8,17,0,45.0,0,0.0,45.0,0.0
r554,Capomulin,Female,8,17,5,45.78174579,1,0.7817457900000022,45.0,1.7372128666666715
r554,Capomulin,Female,8,17,10,39.0054935,2,-5.9945065,45.0,-13.321125555555554
r554,Capomulin,Female,8,17,15,35.46375763,2,-9.536242369999997,45.0,-21.191649711111104
r554,Capomulin,Female,8,17,20,36.01558858,2,-8.98441142,45.0,-19.96535871111111
r554,Capomulin,Female,8,17,25,33.89334515,3,-11.106654849999998,45.0,-24.68145522222222
r554,Capomulin,Female,8,17,30,32.68065459,3,-12.319345409999997,45.0,-27.376323133333326
r554,Capomulin,Female,8,17,35,33.06933705,3,-11.930662949999999,45.0,-26.51258433333333
r554,Capomulin,Female,8,17,40,31.80484133,3,-13.195158670000001,45.0,-29.322574822222226
r554,Capomulin,Female,8,17,45,32.37735684,3,-12.622643160000003,45.0,-28.05031813333334
m957,Capomulin,Female,3,19,0,45.0,0,0.0,45.0,0.0
m957,Capomulin,Female,3,19,5,45.62238149,1,0.6223814900000022,45.0,1.3830699777777826
m957,Capomulin,Female,3,19,10,46.4145177,1,1.4145176999999975,45.0,3.1433726666666613
m957,Capomulin,Female,3,19,15,39.80445341,1,-5.195546589999999,45.0,-11.545659088888888
m957,Capomulin,Female,3,19,20,38.90934919,1,-6.09065081,45.0,-13.534779577777778
m957,Capomulin,Female,3,19,25,37.69543154,1,-7.304568459999999,45.0,-16.232374355555553
m957,Capomulin,Female,3,19,30,38.21247939,1,-6.787520610000001,45.0,-15.083379133333336
m957,Capomulin,Female,3,19,35,32.56283914,1,-12.437160859999999,45.0,-27.638135244444438
m957,Capomulin,Female,3,19,40,32.94761484,1,-12.05238516,45.0,-26.783078133333333
m957,Capomulin,Female,3,19,45,33.32909778,1,-11.670902220000002,45.0,-25.93533826666667
c758,Ramicane,Male,9,17,0,45.0,0,0.0,45.0,0.0
c758,Ramicane,Male,9,17,5,45.5786783,0,0.5786783,45.0,1.2859517777777778
c758,Ramicane,Male,9,17,10,46.28799223,0,1.2879922300000004,45.0,2.862204955555556
c758,Ramicane,Male,9,17,15,46.94094512,1,1.940945120000002,45.0,4.313211377777782
c758,Ramicane,Male,9,17,20,43.1263114,1,-1.8736886000000013,45.0,-4.163752444444447
c758,Ramicane,Male,9,17,25,43.6022673,1,-1.3977326999999988,45.0,-3.1060726666666643
c758,Ramicane,Male,9,17,30,44.11827028,1,-0.8817297200000027,45.0,-1.9593993777777838
c758,Ramicane,Male,9,17,35,37.80238546,1,-7.1976145399999965,45.0,-15.99469897777777
c758,Ramicane,Male,9,17,40,32.83318858,1,-12.166811420000002,45.0,-27.037358711111114
c758,Ramicane,Male,9,17,45,33.39765251,1,-11.60234749,45.0,-25.78299442222222
t565,Capomulin,Female,20,17,0,45.0,0,0.0,45.0,0.0
t565,Capomulin,Female,20,17,5,45.8956472,0,0.8956471999999991,45.0,1.990327111111109
t565,Capomulin,Female,20,17,10,46.74900552,0,1.7490055199999972,45.0,3.886678933333327
t565,Capomulin,Female,20,17,15,44.44094861,0,-0.5590513900000005,45.0,-1.2423364222222233
t565,Capomulin,Female,20,17,20,39.0702138,0,-5.929786200000002,45.0,-13.177302666666671
t565,Capomulin,Female,20,17,25,37.34220976,0,-7.657790239999997,45.0,-17.017311644444437
t565,Capomulin,Female,20,17,30,32.86891617,0,-12.131083830000001,45.0,-26.95796406666667
t565,Capomulin,Female,20,17,35,33.51567063,0,-11.484329369999998,45.0,-25.52073193333333
t565,Capomulin,Female,20,17,40,33.94934131,0,-11.050658689999999,45.0,-24.55701931111111
t565,Capomulin,Female,20,17,45,34.45529799,0,-10.544702010000002,45.0,-23.432671133333336
a644,Ramicane,Female,7,17,0,45.0,0,0.0,45.0,0.0
a644,Ramicane,Female,7,17,5,45.55015754,0,0.5501575400000007,45.0,1.2225723111111126
a644,Ramicane,Female,7,17,10,46.38071258,0,1.3807125800000009,45.0,3.06825017777778
a644,Ramicane,Female,7,17,15,46.91089166,0,1.9108916599999972,45.0,4.246425911111105
a644,Ramicane,Female,7,17,20,45.86506461,0,0.8650646099999975,45.0,1.9223657999999941
a644,Ramicane,Female,7,17,25,41.48122408,0,-3.518775920000003,45.0,-7.819502044444452
a644,Ramicane,Female,7,17,30,37.21112063,0,-7.7888793699999965,45.0,-17.308620822222213
a644,Ramicane,Female,7,17,35,35.12863083,0,-9.871369170000001,45.0,-21.936375933333334
a644,Ramicane,Female,7,17,40,35.77945086,0,-9.220549140000003,45.0,-20.490109200000006
a644,Ramicane,Female,7,17,45,32.97852192,1,-12.021478080000001,45.0,-26.714395733333333
i177,Ramicane,Male,10,18,0,45.0,0,0.0,45.0,0.0
i177,Ramicane,Male,10,18,5,44.06539783,0,-0.934602169999998,45.0,-2.0768937111111065
i177,Ramicane,Male,10,18,10,41.02092924,0,-3.979070759999999,45.0,-8.842379466666664
i177,Ramicane,Male,10,18,15,40.33093479,0,-4.669065209999999,45.0,-10.375700466666665
i177,Ramicane,Male,10,18,20,35.34536136,0,-9.654638640000002,45.0,-21.454752533333338
i177,Ramicane,Male,10,18,25,34.0821803,1,-10.917819700000003,45.0,-24.26182155555556
i177,Ramicane,Male,10,18,30,34.71147302,1,-10.28852698,45.0,-22.86339328888889
i177,Ramicane,Male,10,18,35,35.1521662,1,-9.847833799999997,45.0,-21.884075111111105
i177,Ramicane,Male,10,18,40,35.55793279,2,-9.442067209999998,45.0,-20.982371577777773
i177,Ramicane,Male,10,18,45,33.56240217,3,-11.437597830000001,45.0,-25.416884066666668
j989,Ramicane,Male,8,19,0,45.0,0,0.0,45.0,0.0
j989,Ramicane,Male,8,19,5,45.62071835,1,0.6207183499999971,45.0,1.3793741111111046
j989,Ramicane,Male,8,19,10,46.34383237,1,1.3438323700000012,45.0,2.986294155555558
j989,Ramicane,Male,8,19,15,41.12835439,1,-3.8716456100000016,45.0,-8.603656911111115
j989,Ramicane,Male,8,19,20,41.63534426,1,-3.3646557400000034,45.0,-7.477012755555563
j989,Ramicane,Male,8,19,25,39.93411249,1,-5.065887510000003,45.0,-11.257527800000007
j989,Ramicane,Male,8,19,30,34.67178107,1,-10.328218929999998,45.0,-22.95159762222222
j989,Ramicane,Male,8,19,35,35.1155898,1,-9.884410199999998,45.0,-21.965355999999993
j989,Ramicane,Male,8,19,40,35.50119014,1,-9.498809860000001,45.0,-21.108466355555557
j989,Ramicane,Male,8,19,45,36.13485243,1,-8.865147569999998,45.0,-19.700327933333327
i738,Capomulin,Female,23,20,0,45.0,0,0.0,45.0,0.0
i738,Capomulin,Female,23,20,5,45.59568527,0,0.595685269999997,45.0,1.3237450444444379
i738,Capomulin,Female,23,20,10,43.42101414,0,-1.578985860000003,45.0,-3.508857466666673
i738,Capomulin,Female,23,20,15,37.97877782,0,-7.021222180000002,45.0,-15.60271595555556
i738,Capomulin,Female,23,20,20,38.53113634,0,-6.468863659999997,45.0,-14.37525257777777
i738,Capomulin,Female,23,20,25,34.97343761,0,-10.026562390000002,45.0,-22.28124975555556
i738,Capomulin,Female,23,20,30,35.57877987,1,-9.421220130000002,45.0,-20.936044733333336
i738,Capomulin,Female,23,20,35,36.17595269,1,-8.824047309999997,45.0,-19.608994022222216
i738,Capomulin,Female,23,20,40,36.84389799,2,-8.156102009999998,45.0,-18.12467113333333
i738,Capomulin,Female,23,20,45,37.31184577,2,-7.688154230000002,45.0,-17.084787177777784
a520,Ramicane,Male,13,21,0,45.0,0,0.0,45.0,0.0
a520,Ramicane,Male,13,21,5,38.72370695,0,-6.27629305,45.0,-13.947317888888888
a520,Ramicane,Male,13,21,10,36.42938781,0,-8.570612189999999,45.0,-19.045804866666664
a520,Ramicane,Male,13,21,15,35.590254,0,-9.409745999999998,45.0,-20.91054666666666
a520,Ramicane,Male,13,21,20,35.94774514,0,-9.052254859999998,45.0,-20.116121911111108
a520,Ramicane,Male,13,21,25,36.55858129,1,-8.44141871,45.0,-18.758708244444446
a520,Ramicane,Male,13,21,30,36.94770981,1,-8.05229019,45.0,-17.893978200000003
a520,Ramicane,Male,13,21,35,37.62471026,1,-7.3752897399999995,45.0,-16.389532755555557
a520,Ramicane,Male,13,21,40,38.25972497,1,-6.740275029999999,45.0,-14.978388955555555
a520,Ramicane,Male,13,21,45,38.81036633,1,-6.189633669999999,45.0,-13.754741488888886
w914,Capomulin,Male,24,21,0,45.0,0,0.0,45.0,0.0
w914,Capomulin,Male,24,21,5,45.89372032,0,0.8937203199999999,45.0,1.9860451555555554
w914,Capomulin,Male,24,21,10,43.23196275,0,-1.768037249999999,45.0,-3.9289716666666648
w914,Capomulin,Male,24,21,15,43.68844893,0,-1.3115510700000002,45.0,-2.9145579333333336
w914,Capomulin,Male,24,21,20,41.10809233,0,-3.891907670000002,45.0,-8.648683711111115
w914,Capomulin,Male,24,21,25,40.29191661,0,-4.708083389999999,45.0,-10.46240753333333
w914,Capomulin,Male,24,21,30,40.99311013,0,-4.006889870000002,45.0,-8.904199711111115
w914,Capomulin,Male,24,21,35,41.66491577,1,-3.3350842299999996,45.0,-7.411298288888888
w914,Capomulin,Male,24,21,40,35.61130861,2,-9.388691389999998,45.0,-20.86375864444444
w914,Capomulin,Male,24,21,45,36.04104736,2,-8.95895264,45.0,-19.908783644444444
r811,Ramicane,Male,9,19,0,45.0,0,0.0,45.0,0.0
r811,Ramicane,Male,9,19,5,45.62580225,0,0.6258022499999996,45.0,1.3906716666666656
r811,Ramicane,Male,9,19,10,39.453903,0,-5.546097000000003,45.0,-12.324660000000007
r811,Ramicane,Male,9,19,15,40.02229235,0,-4.977707649999999,45.0,-11.061572555555554
r811,Ramicane,Male,9,19,20,40.7728027,0,-4.2271973,45.0,-9.39377177777778
r811,Ramicane,Male,9,19,25,37.61401068,0,-7.38598932,45.0,-16.4133096
r811,Ramicane,Male,9,19,30,38.24206639,0,-6.757933610000002,45.0,-15.01763024444445
r811,Ramicane,Male,9,19,35,36.00302016,1,-8.996979840000002,45.0,-19.993288533333338
r811,Ramicane,Male,9,19,40,36.5200329,1,-8.479967100000003,45.0,-18.84437133333334
r811,Ramicane,Male,9,19,45,37.22565033,1,-7.774349669999999,45.0,-17.2763326
g288,Capomulin,Male,3,19,0,45.0,0,0.0,45.0,0.0
g288,Capomulin,Male,3,19,5,45.83939976,0,0.8393997599999992,45.0,1.8653327999999982
g288,Capomulin,Male,3,19,10,46.30400254,1,1.304002539999999,45.0,2.89778342222222
g288,Capomulin,Male,3,19,15,42.17230079,1,-2.8276992099999987,45.0,-6.283776022222219
g288,Capomulin,Male,3,19,20,42.95712001,1,-2.042879990000003,45.0,-4.539733311111117
g288,Capomulin,Male,3,19,25,42.36869239,1,-2.6313076100000004,45.0,-5.847350244444445
g288,Capomulin,Male,3,19,30,42.87446056,1,-2.125539439999997,45.0,-4.723420977777772
g288,Capomulin,Male,3,19,35,38.95411458,1,-6.045885419999998,45.0,-13.435300933333327
g288,Capomulin,Male,3,19,40,36.35685121,1,-8.643148789999998,45.0,-19.206997311111106
g288,Capomulin,Male,3,19,45,37.07402422,1,-7.925975780000002,45.0,-17.613279511111116
i334,Ramicane,Female,8,20,0,45.0,0,0.0,45.0,0.0
i334,Ramicane,Female,8,20,5,41.02051821,0,-3.9794817900000012,45.0,-8.843292866666669
i334,Ramicane,Female,8,20,10,41.63124731,0,-3.368752690000001,45.0,-7.486117088888891
i334,Ramicane,Female,8,20,15,39.15800115,0,-5.841998850000003,45.0,-12.982219666666673
i334,Ramicane,Female,8,20,20,39.6878317,0,-5.312168300000003,45.0,-11.804818444444452
i334,Ramicane,Female,8,20,25,38.24881732,1,-6.751182679999999,45.0,-15.002628177777776
i334,Ramicane,Female,8,20,30,39.00555435,1,-5.994445650000003,45.0,-13.320990333333341
i334,Ramicane,Female,8,20,35,39.7695521,2,-5.2304479000000015,45.0,-11.62321755555556
i334,Ramicane,Female,8,20,40,40.44237037,2,-4.557629630000001,45.0,-10.128065844444446
i334,Ramicane,Female,8,20,45,36.37451039,2,-8.625489610000002,45.0,-19.167754688888895
q610,Ramicane,Female,18,21,0,45.0,0,0.0,45.0,0.0
q610,Ramicane,Female,18,21,5,45.62949421,0,0.6294942099999972,45.0,1.3988760222222159
q610,Ramicane,Female,18,21,10,44.99148471,0,-0.008515289999998288,45.0,-0.01892286666666286
q610,Ramicane,Female,18,21,15,45.88902756,0,0.8890275600000024,45.0,1.9756168000000054
q610,Ramicane,Female,18,21,20,46.58543347,0,1.5854334699999981,45.0,3.5231854888888843
q610,Ramicane,Female,18,21,25,40.14645019,0,-4.853549809999997,45.0,-10.785666244444437
q610,Ramicane,Female,18,21,30,40.66834256,1,-4.331657440000001,45.0,-9.625905422222223
q610,Ramicane,Female,18,21,35,36.56165229,2,-8.438347710000002,45.0,-18.751883800000005
d251,Ramicane,Female,8,19,0,45.0,0,0.0,45.0,0.0
d251,Ramicane,Female,8,19,5,41.74635495,1,-3.253645050000003,45.0,-7.230322333333341
d251,Ramicane,Female,8,19,10,42.43225791,1,-2.567742090000003,45.0,-5.70609353333334
d251,Ramicane,Female,8,19,15,39.47278744,1,-5.527212560000002,45.0,-12.282694577777784
d251,Ramicane,Female,8,19,20,37.65209085,1,-7.34790915,45.0,-16.328687
d251,Ramicane,Female,8,19,25,38.09751328,1,-6.902486719999999,45.0,-15.338859377777775
d251,Ramicane,Female,8,19,30,38.71825638,2,-6.28174362,45.0,-13.959430266666667
d251,Ramicane,Female,8,19,35,37.70852942,2,-7.291470580000002,45.0,-16.20326795555556
d251,Ramicane,Female,8,19,40,38.26540379,2,-6.734596209999999,45.0,-14.965769355555555
d251,Ramicane,Female,8,19,45,37.31123552,2,-7.688764480000003,45.0,-17.0861432888889
l897,Capomulin,Male,17,19,0,45.0,0,0.0,45.0,0.0
l897,Capomulin,Male,17,19,5,45.46224327,0,0.46224327000000187,45.0,1.0272072666666707
l897,Capomulin,Male,17,19,10,46.15473721,0,1.1547372100000004,45.0,2.5660826888888897
l897,Capomulin,Male,17,19,15,44.0615214,0,-0.9384786000000034,45.0,-2.0855080000000075
l897,Capomulin,Male,17,19,20,44.81309343,0,-0.18690656999999788,45.0,-0.41534793333332864
l897,Capomulin,Male,17,19,25,45.35467916,0,0.35467916000000344,45.0,0.7881759111111188
l897,Capomulin,Male,17,19,30,39.35279201,1,-5.647207989999998,45.0,-12.549351088888885
l897,Capomulin,Male,17,19,35,37.68276664,1,-7.317233360000003,45.0,-16.260518577777784
l897,Capomulin,Male,17,19,40,38.34390154,1,-6.656098460000003,45.0,-14.791329911111117
l897,Capomulin,Male,17,19,45,38.84687569,1,-6.153124310000003,45.0,-13.673609577777784
c458,Ramicane,Female,23,20,0,45.0,0,0.0,45.0,0.0
c458,Ramicane,Female,23,20,5,45.72227949,0,0.7222794899999982,45.0,1.6050655333333295
c458,Ramicane,Female,23,20,10,44.45437828,1,-0.5456217199999998,45.0,-1.2124927111111106
c458,Ramicane,Female,23,20,15,45.10742313,2,0.10742313000000081,45.0,0.23871806666666845
c458,Ramicane,Female,23,20,20,39.50513508,2,-5.494864919999998,45.0,-12.21081093333333
c458,Ramicane,Female,23,20,25,37.75314964,2,-7.246850360000003,45.0,-16.10411191111112
c458,Ramicane,Female,23,20,30,38.34200823,2,-6.657991770000002,45.0,-14.795537266666672
b742,Capomulin,Male,7,21,0,45.0,0,0.0,45.0,0.0
b742,Capomulin,Male,7,21,5,41.53409702,0,-3.4659029800000027,45.0,-7.702006622222228
b742,Capomulin,Male,7,21,10,41.99922813,0,-3.0007718700000012,45.0,-6.668381933333337
b742,Capomulin,Male,7,21,15,39.52484301,0,-5.475156990000002,45.0,-12.167015533333338
b742,Capomulin,Male,7,21,20,37.95035546,0,-7.049644540000003,45.0,-15.66587675555556
b742,Capomulin,Male,7,21,25,38.61768433,0,-6.382315669999997,45.0,-14.182923711111103
b742,Capomulin,Male,7,21,30,39.1679495,0,-5.832050500000001,45.0,-12.960112222222225
